number,date,VCRIX,CRIX
867,18/9/15,540.4876467,15305.56352
866,18/9/14,527.0096786,15344.5202
865,18/9/13,549.4453798,14640.07858
864,18/9/12,565.59263,14590.48596
863,18/9/11,589.6316824,14811.99627
862,18/9/10,613.9277612,14813.7792
861,18/9/9,604.1483864,14633.34072
860,18/9/8,616.7291015,15310.5933
859,18/9/7,634.4738452,15703.78812
858,18/9/6,400.9938392,16071.19151
857,18/9/5,417.6492886,18108.51437
856,18/9/4,431.8547276,17966.99808
855,18/9/3,450.0245244,18148.82
854,18/9/2,446.1361085,18033.71848
853,18/9/1,465.1280602,17365.23616
852,18/8/31,465.1280602,17305.06928
851,18/8/30,480.8865778,17460.66265
850,18/8/29,488.227581,17667.36745
849,18/8/28,485.0586394,17061.22576
848,18/8/27,504.2473253,16396.71376
847,18/8/26,525.7141364,16548.53651
846,18/8/25,543.8200651,16487.33695
845,18/8/24,557.7085772,16149.06637
844,18/8/23,566.234813,15694.29401
843,18/8/22,576.2727406,16155.20331
842,18/8/21,545.6742183,15590.52386
841,18/8/20,564.5617017,16490.42022
840,18/8/19,548.7306669,16163.36842
839,18/8/18,480.1796785,16967.81322
838,18/8/17,499.6621016,15697.19747
837,18/8/16,519.8297374,15524.88732
836,18/8/15,534.4619127,15362.86834
835,18/8/14,528.635312,15653.08681
834,18/8/13,549.7625359,16251.41589
833,18/8/12,567.8034642,16038.80728
832,18/8/11,525.5725454,16289.25141
831,18/8/10,527.9990305,17390.08309
830,18/8/9,433.0757061,16714.54837
829,18/8/8,406.1753099,18144.30801
828,18/8/7,415.2808203,19023.26395
827,18/8/6,432.391608,19356.84451
826,18/8/5,407.07538,19189.28253
825,18/8/4,423.4313267,20085.63202
824,18/8/3,432.7727485,20165.15865
823,18/8/2,445.2586803,20549.67333
822,18/8/1,405.2111762,20869.60012
821,18/7/31,405.2111762,22028.87432
820,18/7/30,422.3329473,22294.20274
819,18/7/29,440.3092486,22284.0277
818,18/7/28,454.5619356,22222.07994
817,18/7/27,462.0726489,21774.81724
816,18/7/26,471.7698695,22322.25324
815,18/7/25,415.1484608,22831.83629
814,18/7/24,430.4787713,21237.08262
813,18/7/23,448.2533057,20890.96163
812,18/7/22,464.46304,20934.1194
811,18/7/21,458.0961603,20596.57879
810,18/7/20,477.3936503,21373.8021
809,18/7/19,494.2138431,21362.00122
808,18/7/18,460.7482631,21602.36098
807,18/7/17,406.0655546,20293.19577
806,18/7/16,415.4178551,18938.15797
805,18/7/15,433.0783147,18489.57333
804,18/7/14,450.854486,18453.04859
803,18/7/13,453.479145,18278.50638
802,18/7/12,470.4430904,18798.72259
801,18/7/11,418.2541351,18513.14303
800,18/7/10,426.5569441,19712.33827
799,18/7/9,442.5848565,20111.70291
798,18/7/8,454.1789293,20270.65502
797,18/7/7,473.5074984,19789.17462
796,18/7/6,492.1589416,19752.80234
795,18/7/5,512.2909623,19886.29039
794,18/7/4,527.9027342,19672.02393
793,18/7/3,515.1499573,20023.71424
792,18/7/2,535.7085965,18985.64819
791,18/7/1,545.8111262,19112.83607
790,18/6/30,545.8111262,18483.00886
789,18/6/29,536.8114757,17714.35831
788,18/6/28,556.7809597,18541.36339
787,18/6/27,545.7837675,18228.69407
786,18/6/26,567.6798232,19117.31872
785,18/6/25,584.9505649,18858.89815
784,18/6/24,609.0258357,19236.5515
783,18/6/23,477.6946604,19016.68159
782,18/6/22,496.105521,21149.42438
781,18/6/21,516.0151532,21321.10834
780,18/6/20,536.1356778,21450.24732
779,18/6/19,544.3315822,21134.4935
778,18/6/18,565.5848858,20305.87702
777,18/6/17,589.0458097,20490.38231
776,18/6/16,583.2821762,20281.32228
775,18/6/15,566.865151,21256.30235
774,18/6/14,566.7084105,20003.55753
773,18/6/13,537.163505,20841.71742
772,18/6/12,556.9963252,22163.66605
771,18/6/11,403.3811746,21757.76606
770,18/6/10,411.1792651,24224.50338
769,18/6/9,425.9435065,24714.61062
768,18/6/8,443.9126864,24958.91739
767,18/6/7,462.4900452,24957.96713
766,18/6/6,477.8196073,24998.55928
765,18/6/5,479.0001361,24493.39897
764,18/6/4,493.2978711,25325.67832
763,18/6/3,507.5123294,24731.1309
762,18/6/2,528.9507013,24106.17392
761,18/6/1,548.3455527,23939.0156
760,18/5/31,548.3455527,23494.87395
759,18/5/30,517.0923039,23686.37178
758,18/5/29,476.315591,22109.11795
757,18/5/28,494.8438132,23590.06629
756,18/5/27,513.2518871,23795.06782
755,18/5/26,526.7507085,24066.49875
754,18/5/25,541.8020614,24609.51746
753,18/5/24,485.4082072,23995.07506
752,18/5/23,453.7574343,25891.09714
751,18/5/22,466.7227407,27440.87567
750,18/5/21,468.8895027,27934.04266
749,18/5/20,487.7879394,26892.88316
748,18/5/19,503.8264937,27044.56321
747,18/5/18,493.6949396,26429.30847
746,18/5/17,512.1971454,27690.04233
745,18/5/16,510.0511236,27983.7833
744,18/5/15,530.9273863,29115.71744
743,18/5/14,538.7054408,29243.11465
742,18/5/13,559.0767147,28148.73795
741,18/5/12,504.2139095,27634.15668
740,18/5/11,499.5562302,29828.90734
739,18/5/10,520.8067666,31102.09306
738,18/5/9,538.0300264,31027.32244
737,18/5/8,543.3025192,31565.56798
736,18/5/7,559.8966259,32750.57607
735,18/5/6,577.1233337,33430.97631
734,18/5/5,601.5093802,32491.57092
733,18/5/4,599.0034968,32510.02033
732,18/5/3,622.283738,30722.88554
731,18/5/2,648.5654153,30191.75528
730,18/5/1,661.3806313,30253.64684
729,18/4/30,661.3806313,31331.35692
728,18/4/29,671.6975087,30639.1297
727,18/4/28,690.0758724,29147.5142
726,18/4/27,690.5156378,29977.15552
725,18/4/26,580.3038967,28205.37682
724,18/4/25,517.3517882,31671.65866
723,18/4/24,531.240124,28951.205
722,18/4/23,553.7615692,28062.72042
721,18/4/22,574.2861961,28026.61972
720,18/4/21,570.8420495,27597.5128
719,18/4/20,571.7454138,26061.92158
718,18/4/19,570.4709209,24779.08693
717,18/4/18,592.0733128,23530.92459
716,18/4/17,609.0543634,23830.16875
715,18/4/16,607.1135742,24411.88024
714,18/4/15,632.8530102,23117.80423
713,18/4/14,659.6881455,22979.6367
712,18/4/13,534.806676,22991.21312
711,18/4/12,544.584506,20358.72617
710,18/4/11,566.6994617,19614.47594
709,18/4/10,585.7951932,19371.72905
708,18/4/9,607.493567,19728.02934
707,18/4/8,622.995769,19339.46774
706,18/4/7,630.990062,18693.65941
705,18/4/6,657.7138038,19441.45843
704,18/4/5,592.239287,19325.09202
703,18/4/4,573.0939155,21186.73729
702,18/4/3,586.9184233,19836.73083
701,18/4/2,599.3911481,19179.86259
700,18/4/1,624.8762588,19758.65729
699,18/3/31,624.8762588,19662.32317
698,18/3/30,497.884931,19945.99544
697,18/3/29,519.0741278,22405.46443
696,18/3/28,504.3517372,22292.8564
695,18/3/27,490.0623349,23470.5622
694,18/3/26,509.2080034,24673.69199
693,18/3/25,523.3849804,24925.72827
692,18/3/24,545.5750339,25480.90994
691,18/3/23,555.1150827,25434.69966
690,18/3/22,578.7470839,26253.72355
689,18/3/21,599.899794,26146.83332
688,18/3/20,588.8568337,25557.1946
687,18/3/19,613.9219793,24013.64324
686,18/3/18,591.1495884,23938.24955
